"cidade";"d";"h0";"h90";"h180";"h270"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9584,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9584,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9584,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9584,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9581,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9581,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9581,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9581,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9578,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9578,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9578,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9578,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2807,-46.956,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.956,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.956,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.956,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9533,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9533,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9533,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9533,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9503,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9503,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9503,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2807,-46.9503,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9718,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9718,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9718,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9718,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9715,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9715,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9715,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9715,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9604,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9604,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9604,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9604,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9529,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9529,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9529,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9529,h270,p20,z1"
